date,country,title,label,views,description,attributes,classify_text,categories_generated
2023-02,Spain,Amancio_Amaro,Amancio Amaro,16757,Spanish footballer (1939–2023),human,spanish footballer 1939–2023,Not Sports
2023-02,Colombia,Samuel_Moreno,Samuel Moreno Rojas,16720,Colombian politician (1960–2023),human,colombian politician 1960–2023,Not Sports
2023-02,Spain,Ronaldinho,Ronaldinho,16664,Brazilian associaton fooball player (born 1980),human,brazilian associaton fooball player born 1980,Not Sports
2023-02,Argentina,Christian_Atsu,Christian Atsu,16574,Ghanaian association football player (1992–2023),human,ghanaian association football player 1992–2023,Sports
2023-02,Colombia,Daniel_Cataño,Daniel Cataño,16538,Colombian footballer,human,colombian footballer,Not Sports
2023-02,Spain,Valeria_Vegas,Valeria Vegas,16458,Spanish writer and documentarian,human,spanish writer documentarian,Not Sports
2023-02,Spain,Álvaro_Daniel_Rodríguez_Muñoz,Álvaro Rodríguez,16386,Uruguayan footballer (born 2004),human,uruguayan footballer born 2004,Not Sports
2023-02,Chile,Paloma_Mami,Paloma Mami,16301,American singer,human,american singer,Not Sports
2023-02,Dominican Republic,Mama_Cax,Mama Cax,15881,American–Haitian model and disability rights activist,human,american–haitian model disability rights activist,Not Sports
2023-02,Spain,Pepe_Reina,Pepe Reina,15693,Spanish association football player,human,spanish association football player,Sports
2023-02,Spain,Luciano_Vietto,Luciano Vietto,15582,Argentine association football player,human,argentine association football player,Sports
2023-02,Spain,Berta_Vázquez,Berta Vázquez,15487,Ukrainian-Spanish actress and singer,human,ukrainian spanish actress singer,Not Sports
2023-02,Spain,Manolo_Vieira,Manolo Vieira,15279,Canarian comedian,human,canarian comedian,Not Sports
2023-02,Chile,Claudio_Parra,Claudio Parra,15101,Chilean musician,human,chilean musician,Not Sports
2023-03,Mexico,Julieta_Lanteri,Julieta Lanteri,256469,Argentine pharmacologist and suffragist (1873–1932),human,argentine pharmacologist suffragist 1873–1932,Not Sports
2023-03,Mexico,Ignacio_López_Tarso,Ignacio López Tarso,211863,Mexican actor and politician (1925–2023),human,mexican actor politician 1925–2023,Not Sports
2023-03,Mexico,Lola_Cueto,Lola Cueto,184584,Mexican artist (1897-1978),human,mexican artist 1897 1978,Not Sports
2023-03,Mexico,Rebecca_Jones,Rebecca Jones,179081,Mexican actress (1957–2023),human,mexican actress 1957–2023,Not Sports
2023-03,Spain,Ramón_Tamames,Ramón Tamames,178448,Spanish economist and politician,human,spanish economist politician,Not Sports
2023-03,Mexico,Kitty_O'Neil,Kitty O'Neil,172413,American racing driver and stuntwoman (1946–2018),human,american racing driver stuntwoman 1946–2018,Not Sports
2023-03,Mexico,Julieta_Lanteri,Julieta Lanteri,169645,Argentine pharmacologist and suffragist (1873–1932),human,argentine pharmacologist suffragist 1873–1932,Not Sports
2023-03,Argentina,Julieta_Lanteri,Julieta Lanteri,156535,Argentine pharmacologist and suffragist (1873–1932),human,argentine pharmacologist suffragist 1873–1932,Not Sports
2023-03,Colombia,Julieta_Lanteri,Julieta Lanteri,145528,Argentine pharmacologist and suffragist (1873–1932),human,argentine pharmacologist suffragist 1873–1932,Not Sports
2023-03,Mexico,Lola_Cueto,Lola Cueto,144126,Mexican artist (1897-1978),human,mexican artist 1897 1978,Not Sports
2023-03,Mexico,Kitty_O'Neil,Kitty O'Neil,125547,American racing driver and stuntwoman (1946–2018),human,american racing driver stuntwoman 1946–2018,Not Sports
2023-03,Argentina,José_Mario_Molina_Pasquel_y_Henríquez,Mario Molina,115336,Mexican chemical engineer (1943–2020),human,mexican chemical engineer 1943–2020,Not Sports
